"metric_name","metric_value","severity","details","run_ts"
"gold_freshness_minutes","4621.683333","CRITICAL","max_gold_updated_at=2026-05-10 09:44:26.700191","2026-05-13 14:46:07.666368 UTC"
"silver_avg_file_size_mb","0.10593564808368683","WARN","files=64, avg_file_size_mb=0.10593564808368683","2026-05-13 14:46:40.363293 UTC"
"silver_daily_row_count_min_7d","60000.0","OK","active_days=1, min_rows=60000, avg_rows=60000, max_rows=60000","2026-05-13 14:46:10.143858 UTC"
"silver_duplicate_event_ids_7d","0.0","OK","duplicate_event_ids=0","2026-05-13 14:46:46.926230 UTC"
"silver_freshness_minutes","4300.5","CRITICAL","max_event_time=2026-05-10 15:05:23.738783","2026-05-13 14:45:53.970819 UTC"
"silver_manifest_count","1.0","OK","manifests=1, avg_manifest_length_mb=0.0328521728515625","2026-05-13 14:46:45.616464 UTC"
"silver_small_file_ratio","1.0","WARN","small_files=64, total_files=64","2026-05-13 14:46:42.328907 UTC"
"silver_snapshots_last_24h","0.0","OK","","2026-05-13 14:46:43.958503 UTC"
"streaming_max_batch_duration_ms_15m","0.0","OK","","2026-05-13 14:47:06.525794 UTC"
